date,weekly_total_usd_millions
2024-01-14,858.3
2024-01-21,318.1
2024-01-28,-416.8
2024-02-04,818.5
2024-02-11,1194.2
2024-02-18,2277.1
2024-02-25,583.9
2024-03-03,1722.8999999999999
2024-03-10,2238.5
2024-03-17,2565.6000000000004
2024-03-24,-887.6
2024-03-31,859.7
2024-04-07,483.70000000000005
2024-04-14,-83.30000000000001
2024-04-21,-204.29999999999998
2024-04-28,-328.0
2024-05-05,-433.00000000000006
2024-05-12,116.8
2024-05-19,948.3
2024-05-26,1056.7
2024-06-02,170.89999999999998
2024-06-09,1828.5
2024-06-16,-580.6
2024-06-23,-544.1
2024-06-30,-37.3
2024-07-07,238.39999999999998
2024-07-14,1047.6
2024-07-21,1241.1
2024-07-28,535.3
2024-08-04,-80.70000000000002
2024-08-11,-167.0
2024-08-18,32.39999999999999
2024-08-25,506.4
2024-09-01,-277.2
2024-09-08,-706.1
2024-09-15,403.9
2024-09-22,397.20000000000005
2024-09-29,1106.5
2024-10-06,-301.59999999999997
2024-10-13,308.79999999999995
2024-10-20,2129.6
2024-10-27,997.6
2024-11-03,2220.2
2024-11-10,1631.1999999999998
2024-11-17,1671.0
2024-11-24,3353.1
2024-12-01,-135.10000000000002
2024-12-08,2729.7
2024-12-15,2167.1
2024-12-22,457.20000000000005
2024-12-29,-377.59999999999997
2025-01-05,256.0
2025-01-12,312.80000000000007
2025-01-19,1960.1000000000001
2025-01-26,1757.7
2025-02-02,559.5
2025-02-09,203.8
2025-02-16,-585.6
2025-02-23,-559.6
2025-03-02,-2619.0
2025-03-09,-799.6
2025-03-16,-857.6
2025-03-23,744.3
2025-03-30,182.89999999999998
2025-04-06,-172.89999999999998
2025-04-13,-714.9
2025-04-20,15.0
2025-04-27,3062.9
2025-05-04,1805.1
2025-05-11,934.0
2025-05-18,608.4
2025-05-25,2750.2
2025-06-01,-144.80000000000007
2025-06-08,-131.59999999999997
2025-06-15,1391.0
2025-06-22,1023.4
2025-06-29,2214.8
2025-07-06,769.5
2025-07-13,2717.5
2025-07-20,2386.0
2025-07-27,72.30000000000001
2025-08-03,-642.9
2025-08-10,253.19999999999993
2025-08-17,547.6
2025-08-24,-1178.5
2025-08-31,440.8
2025-09-07,250.3
2025-09-14,2323.9
2025-09-21,886.5
2025-09-28,-897.6
2025-10-05,3236.0
2025-10-12,2714.8
2025-10-19,-1225.3
2025-10-26,446.3
2025-11-02,-799.0
2025-11-09,-1208.4
2025-11-16,-1111.7
2025-11-23,-1216.8
2025-11-30,70.19999999999999
2025-12-07,-87.7
2025-12-14,286.6
2025-12-21,-497.1
2025-12-28,-782.0
2026-01-04,459.0
2026-01-11,-680.9
2026-01-18,1416.6
2026-01-25,-1324.1000000000001
2026-02-01,-1487.7
2026-02-08,-318.1
2026-02-15,-359.99999999999994
2026-02-22,-315.90000000000003
2026-03-01,787.4
2026-03-08,568.5
2026-03-15,763.4
2026-03-22,93.10000000000001
2026-03-29,-296.3
2026-04-05,22.200000000000017
2026-04-12,833.2
2026-04-19,996.5
2026-04-26,823.7
2026-05-03,162.79999999999995
2026-05-10,631.5999999999999
2026-05-17,-995.5
2026-05-24,-1256.3
2026-05-31,-1415.6
2026-06-07,-1722.0
2026-06-14,-319.3
2026-06-21,-227.5
2026-06-28,-1787.3000000000002
2026-07-05,-526.1
2026-07-12,197.39999999999998
2026-07-19,75.50000000000001
2026-07-26,33.900000000000006
2026-08-02,-61.5
2026-08-09,865.3
2026-08-16,-385.2
2026-08-23,1917.8
2026-08-30,924.5
2026-09-06,986.6999999999999
2026-09-13,-462.7
2026-09-20,-442.3
